Type,Match,Node,x,y,o,z
Pose,,1,0.02336228,0.015035992,1.574712362,
Feat,,-1,-0.017658613,-0.036314114,,0.427095374
Pose,,2,-0.362033715,-0.017647715,-0.186046383,
Feat,,-2,0.189018192,0.224519077,,0.460412106
Feat,,-3,0.187577837,0.224748528,,0.459703877
Feat,-1,-4,-0.023380168,-0.048080225,,0.565478258
Pose,,3,-0.38788533,-0.000543091,-0.015564307,
Feat,-2,-5,0.154399476,0.183398367,,0.376087544
Feat,-3,-6,0.153504064,0.183922649,,0.376198035
Feat,-4,-7,-0.023215519,-0.047741632,,0.561496016
Feat,,-8,-0.185070012,0.107754646,,0.396911863
Pose,,3,0.757287243,0.018881468,0.075090359,
Feat,-2,-9,0.109395144,0.129941444,,0.266465614
Feat,-6,-10,0.108760727,0.130312908,,0.266543899
