Type,Match,Node,x,y,o,z
Pose,,1,0.000245727,-1.94E-05,-0.000348399,
Feat,,-1,-0.015857688,0.410123551,,0.127412317
Feat,,-2,-0.166643048,0.380616685,,0.136918377
Pose,,2,-0.291175457,-0.007318771,0.225321207,
Feat,-1,-1,-0.039522939,0.522318799,,0.169411313
Feat,,-3,-0.040635093,0.524656992,,0.1717124
Pose,,3,-0.309738939,-0.004296268,0.09939169,
Feat,-2,-2,-0.159923855,0.391915354,,-0.143532778
Feat,,-4,-0.158795188,0.391807511,,-0.142006258
Feat,-1,-1,-0.039530785,0.519734669,,0.174748206
Feat,-3,-3,-0.037979573,0.519452325,,0.176050009
Pose,,4,0.606658159,0.014715716,-0.504072988,
Feat,-2,-2,-0.105323572,-0.331343616,,-0.119957292
